Divipola,Departamento ,Codigo Departamento,Municipio ,Poblacion Enero 2021,Poblacion Agosto 2021,Poblacion Febrero 2022,Poblacion Octubre 2022,Proyecciones Poblacion 2021,Proyecciones Población 2022,Tasa de Poblacion Migrante para 2021 por 1.000 Hab,Tasa de Poblacion Migrante para 2022 por 1.000 Hab,Tasa de Poblacion Migrante para octubre 2022 por 1.000 Hab
91001,Amazonas,91,Leticia,703,213,193,166,50811,52003,4,4,3
91540,Amazonas,91,Puerto Nariño,89,14,4,1,10460,10705,1,0,0
91263,Amazonas,91,El Encanto,42,43,85,1297,2093,2111,21,40,614
91798,Amazonas,91,Tarapaca,33,4,3,3,3970,4005,1,1,1
91669,Amazonas,91,Puerto Santander,30,26,22,26,1786,9439,15,2,3
91407,Amazonas,91,La Pedrera,18,7,5,7,3978,4013,2,1,2
91530,Amazonas,91,Puerto Alegria,18,3,1,1,777,784,4,1,1
91430,Amazonas,91,La Victoria,15,16,15,7,667,1132,24,13,6
91536,Amazonas,91,Puerto Arica,9,2,0,1,1050,1059,2,0,1
91405,Amazonas,91,La Chorrera,8,3,3,4,2978,3004,1,1,1
91460,Amazonas,91,Miriti - Parana,2,1,0,1,1894,1910,1,0,1
5001,Antioquia,5,Medellin,90100,148714,190854,238469,2573220,2612958,58,73,91
5088,Antioquia,5,Bello,14038,23862,32071,27852,560831,569488,43,56,49
5615,Antioquia,5,Rionegro,8508,10150,11169,9914,145242,147484,70,76,67
5360,Antioquia,5,Itagüi,7889,13586,17816,14517,294551,299098,46,60,49
5266,Antioquia,5,Envigado,7497,6266,6177,4472,246003,249800,25,25,18
5154,Antioquia,5,Caucasia,3049,1959,2399,2376,96927,98423,20,24,24
5631,Antioquia,5,Sabaneta,2798,4252,5040,3356,89364,90743,48,56,37
5440,Antioquia,5,Marinilla,2023,5245,7574,7089,68960,70024,76,108,101
5045,Antioquia,5,Apartadó,1852,3317,5688,5568,129751,131754,26,43,42
5129,Antioquia,5,Caldas,1763,2715,3135,2804,84734,86042,32,36,33
5148,Antioquia,5,El Carmen de Viboral,1441,2547,3588,3475,63564,64546,40,56,54
5656,Antioquia,5,San Jerónimo,1184,1682,1755,1468,16268,16520,103,106,89
5380,Antioquia,5,La Estrella,1078,2316,3093,2390,76704,77888,30,40,31
5837,Antioquia,5,Turbo,1062,1982,3526,3284,132236,134278,15,26,24
5376,Antioquia,5,La Ceja,1044,1923,2561,2294,69399,70470,28,36,33
5212,Antioquia,5,Copacabana,855,1674,2209,1899,83106,84389,20,26,23
5697,Antioquia,5,El Santuario,760,1586,2181,2180,37173,37747,43,58,58
5318,Antioquia,5,Guarne,707,2091,2980,2876,59073,59985,35,50,48
5308,Antioquia,5,Girardota,671,1536,2038,1828,55294,56148,28,36,33
5607,Antioquia,5,Retiro,568,865,1125,977,25146,25534,34,44,38
5756,Antioquia,5,Sonsón,568,805,985,1226,37193,37767,22,26,32
5890,Antioquia,5,Yolombó,522,392,306,326,23870,24239,16,13,13
5579,Antioquia,5,Puerto Berrío,447,827,1157,1543,41345,41983,20,28,37
5172,Antioquia,5,Chigorodó,435,623,1622,1486,60775,61714,10,26,24
5079,Antioquia,5,Barbosa,385,926,1584,1520,55201,56053,17,28,27
5042,Antioquia,5,Santafé de Antioquia,385,7356,8659,5441,27421,27844,268,311,195
5591,Antioquia,5,Puerto Triunfo,297,683,1010,1302,19268,19566,35,52,67
5147,Antioquia,5,Carepa,259,759,1588,1482,51947,52749,15,30,28
5686,Antioquia,5,Santa Rosa de Osos,257,419,559,554,38463,39058,11,14,14
5030,Antioquia,5,Amagá,251,668,969,851,31768,32259,21,30,26
5541,Antioquia,5,Peñol,251,798,1257,1250,22107,22448,36,56,56
5321,Antioquia,5,Guatapé,247,654,1006,924,8844,8981,74,112,103
