VALORES MEDIOS MULTIANUALES DE TEMPERATURA MEDIA EN °C - PERIODO 1981 - 2010,,,,,,,,,,,,,,,,,,,,
CODIGO,CAT,NOMBRE ESTACION,MUNICIPIO,DEPTO,ALTITUD,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
4801501,SP,Apto Vasquez Cobo,Leticia,Amazonas,84,-69.944,-4.199,26.0,26.0,26.1,26.0,25.7,25.1,25.1,25.7,26.1,26.3,26.3,26.0,25.9
2701507,SP,Apto Olaya Herrera,Medellin,Antioquia,1490,-75.589,6.221,22.4,22.7,22.7,22.4,22.6,22.9,23.1,23.1,22.4,21.8,21.8,21.9,22.5
1201502,AM,Uniban,Apartado,Antioquia,23,-76.651,7.826,26.5,26.6,26.9,27.0,26.8,26.7,26.7,26.7,26.5,26.4,26.3,26.4,26.6
3705501,SP,Apto Arauca,Arauca,Arauca,128,-70.738,7.069,27.4,28.3,28.8,27.7,26.6,25.8,25.7,26.1,26.6,26.8,26.9,26.9,26.9
2904502,SP,Apto E Cortissoz,Soledad,Atlantico,14,-74.774,10.895,26.7,26.8,27.2,27.8,28.2,28.2,28.0,28.1,27.8,27.4,27.5,27.1,27.6
1401502,SP,Apto Rafael Nunez,Cartagena,Bolivar,2,-75.521,10.450,26.7,26.8,27.1,27.8,28.3,28.5,28.3,28.4,28.3,28.0,27.9,27.2,27.8
2403513,CP,U P T C,Tunja,Boyaca,2690,-73.350,5.567,13.3,13.6,13.9,13.8,13.5,12.7,12.2,12.3,12.7,13.2,13.4,13.2,13.1
2403534,CP,Apto A Lleras C,Sogamoso,Boyaca,2500,-72.968,5.677,13.9,14.2,14.6,14.8,14.6,14.2,13.9,13.8,13.9,14.2,14.6,14.1,14.2
2615511,SP,Apto La Nubia,Manizales,Caldas,2062,-75.435,5.020,16.9,17.2,17.2,17.2,17.2,17.1,17.2,17.2,16.9,16.6,16.6,16.8,17.0
4403502,SS,Apto G Artunduaga,Florencia,Caqueta,244,-75.560,1.589,26.9,26.6,26.2,25.7,25.5,24.8,24.6,25.2,25.7,26.0,26.2,26.5,25.8
3521501,CP,Apto Yopal,Yopal,Casanare,325,-72.383,5.317,28.2,28.7,28.5,26.6,25.7,25.1,24.9,25.4,26.0,26.2,26.7,27.2,26.4
2603503,SP,Apto G L Valencia,Popayan,Cauca,1757,-76.612,2.456,19.3,19.5,19.4,19.3,19.4,19.5,19.5,19.8,19.4,19.0,18.8,19.0,19.3
2803503,SP,Apto Alfonso Lopez,Valledupar,Cesar,138,-73.251,10.429,29.1,29.9,30.2,29.8,28.9,29.1,29.8,29.4,28.2,27.8,27.9,28.4,29.0
1104501,SP,Apto El Carano,Quibdo,Choco,53,-76.639,5.696,26.4,26.7,26.9,26.9,27.0,26.8,26.8,26.8,26.5,26.3,26.2,26.2,26.6
1308504,SS,Apto Los Garzones,Montería,Córdoba,36,-75.835,8.831,28.0,28.2,28.5,28.7,28.3,28.3,28.3,28.0,27.8,27.7,27.5,27.7,28.1
2120579,SP,Apto Eldorado P1-2,Bogota,Cundinamarca,2547,-74.142,4.696,13.3,13.7,13.9,14.1,14.1,13.9,13.5,13.6,13.5,13.5,13.6,13.4,13.7
2119512,CP,Ita Valsalice,Fusagasuga,Cundinamarca,1460,-74.396,4.396,20.6,20.7,20.4,20.3,20.2,20.0,20.2,20.5,20.6,20.6,20.2,20.3,20.4
3109501,AM,Pto Inirida,Inirida,Guainia,100,-67.932,3.868,27.0,27.4,27.4,26.7,26.2,25.8,25.6,26.0,26.5,26.7,26.8,26.9,26.5
3210507,CO,San Jose Guaviare,San Jose del Guaviare,Guaviare,165,-72.647,2.553,26.3,26.7,26.4,25.9,25.4,24.7,24.6,25.1,25.5,25.7,25.8,26.1,25.7
2111502,SS,Apto Benito Salas,Neiva,Huila,439,-75.293,2.949,27.9,28.1,27.7,27.3,27.5,27.8,28.1,28.9,29.1,27.8,26.9,27.1,27.8
1506501,SP,Apto Alm Padilla,Riohacha,La Guajira,4,-72.933,11.533,27.1,27.2,27.4,28.0,28.8,29.7,29.9,29.5,28.5,28.0,27.7,27.3,28.3
1501505,SP,Apto. Simón Bolívar,Sta Marta,Magdalena,4,-74.233,11.133,27.4,27.9,28.4,28.9,29.1,29.1,28.8,28.6,28.3,27.9,27.8,27.5,28.3
2502509,SP,Apto Las Flores,El Banco,Magdalena,34,-73.971,9.046,28.5,28.9,29.3,28.9,28.5,28.5,28.6,28.7,28.1,27.9,27.9,28.1,28.5
3503502,SP,Apto Vanguardia,Villavicencio,Meta,423,-73.620,4.163,26.7,27.2,26.8,25.7,25.2,24.5,24.2,24.9,25.5,25.6,25.6,25.9,25.6
5204501,AM,Obonuco,Pasto,Narino,2871,-77.306,1.201,12.9,13.1,13.1,13.3,13.3,12.9,12.4,12.5,12.9,13.0,12.9,12.9,12.9
5205501,SP,Apto San Luis,Aldana,Narino,2961,-77.678,0.857,11.2,11.3,11.4,11.4,11.3,10.6,10.0,10.0,10.5,11.1,11.4,11.3,11.0
1601501,SP,Apto Camilo Daza,Cucuta,Norte Santander,250,-72.530,7.781,25.8,26.3,26.7,27.0,27.8,28.1,28.0,28.5,28.4,27.4,26.5,25.8,27.2
4401504,CO,Mocoa Acueducto,Mocoa,Putumayo,650,-76.652,1.157,23.4,23.4,23.2,23.0,22.6,22.0,21.9,22.3,23.0,23.3,23.4,23.4,22.9
2612506,SP,Apto El Eden,Armenia,Quindio,1247,-75.770,4.458,22.2,22.4,22.2,22.0,22.0,22.2,22.4,22.6,22.0,21.5,21.5,21.9,22.1
2613504,SP,Apto Matecana,Pereira,Risaralda,1367,-75.738,4.818,21.8,22.0,21.9,21.5,21.4,21.5,21.7,22.0,21.5,20.9,20.9,21.4,21.5
1701501,SP,Apto Sesquicentena,San Andres,San Andres y Pr,1,-81.704,12.584,26.8,26.7,27.0,27.6,28.0,28.1,28.0,28.1,28.0,27.7,27.4,27.2,27.5
2319513,SP,Apto Palonegro,Lebrija,Santander,1189,-73.187,7.129,21.3,21.7,21.7,21.6,21.6,21.5,21.5,21.6,21.4,21.0,20.9,21.0,21.4
2315503,SP,Apto Yariguies,Barrancabermeja,Santander,126,-73.809,7.026,28.4,28.7,28.4,27.9,27.7,27.8,28.0,27.9,27.5,27.0,27.1,27.7,27.9
2502508,SS,Apto Rafael Barvo,Corozal,Sucre,166,-75.285,9.333,27.8,28.0,28.3,28.2,27.7,27.5,27.6,27.6,27.0,26.8,27.0,27.4,27.5
2124504,SS,Apto Perales,Ibague,Tolima,928,-75.144,4.430,23.8,24.2,24.0,23.7,23.8,24.1,24.5,25.2,24.6,23.5,23.1,23.3,24.0
2118502,AM,Nataima,Espinal,Tolima,431,-74.960,4.188,28.4,28.5,28.4,27.7,27.5,27.7,28.3,29.4,28.9,27.8,27.4,27.6,28.1
2605507,CP,Univ del Valle,Cali,Valle,1004,-76.535,3.379,24.5,24.7,24.7,24.4,24.4,24.4,24.7,25.1,24.8,24.1,23.8,24.1,24.5
5311501,SP,Apto Buenaventura,Buenaventura,Valle del Cauca,14,-76.992,3.820,25.8,26.1,26.4,26.4,26.3,26.0,25.9,26.0,25.9,25.7,25.6,25.7,26.0
4207501,CP,Mitu,Mitu,Vaupes,180,-70.23911,1.25956,25.0,24.7,24.8,24.7,24.7,24.5,24.5,24.6,24.8,24.8,25.0,24.8,24.7
3801503,SP,Apto Pto Carreno,Puerto Carreno,Vichada,50,-67.499,6.167,29.5,30.4,30.9,29.5,27.8,26.8,26.6,26.9,27.5,28.1,28.5,28.9,28.5
