VALORES MEDIOS MULTIANUALES DE PRECIPITACION TOTAL EN MM- PERIODO 1981 - 2010,,,,,,,,,,,,,,,,,,,,,
CODIGO,CAT,NOMBRE ESTACION,MUNICIPIO,DEPTO,ALTITUD,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,
4801501,SP,Apto Vasquez Cobo,Leticia,Amazonas,84,"-69,944","-4,199",367,355,358,376,302,190,158,158,221,257,318,327,3375,
2701507,SP,Apto Olaya Herrera,Medellin,Antioquia,1490,"-75,589","6,221",63,81,129,171,214,152,133,140,182,227,159,105,1750,
1201502,AM,Uniban,Apartado,Antioquia,23,"-76,651","7,826",95,82,99,254,331,285,255,252,284,310,291,207,2744,
3705501,SP,Apto Arauca,Arauca,Arauca,128,"-70,738","7,069",12,24,51,147,267,305,310,225,187,200,110,31,1868,
2904502,SP,Apto E Cortissoz,Soledad,Atlantico,14,"-74,774","10,895",1,0,2,32,118,83,92,113,161,170,96,37,904,
1401502,SP,Apto Rafael Nunez,Cartagena,Bolivar,2,"-75,521","10,450",2,1,2,22,120,102,119,129,144,239,157,50,1087,
2403513,CP,U P T C,Tunja,Boyaca,2690,"-73,350","5,567",18,27,54,81,85,55,49,40,50,86,74,33,652,
2403534,CP,Apto A Lleras C,Sogamoso,Boyaca,2500,"-72,968","5,677",22,29,64,103,96,56,52,43,62,100,87,27,738,
2615511,SP,Apto La Nubia,Manizales,Caldas,2062,"-75,435","5,020",104,89,134,176,162,107,69,72,134,202,167,124,1532,
4403502,SS,Apto G Artunduaga,Florencia,Caqueta,244,"-75,560","1,589",104,192,294,442,514,495,426,323,313,276,244,137,3759,
3521501,CP,Apto Yopal,Yopal,Casanare,325,"-72,383","5,317",10,54,101,257,362,324,330,278,270,239,134,28,2330,
2603503,SP,Apto G L Valencia,Popayan,Cauca,1757,"-76,612","2,456",209,163,212,206,165,77,54,50,110,265,329,264,2095,
2803503,SP,Apto Alfonso Lopez,Valledupar,Cesar,138,"-73,251","10,429",8,9,27,74,170,84,67,116,125,202,105,36,1008,
1104501,SP,Apto El Carano,Quibdo,Choco,53,"-76,639","5,696",545,501,555,707,722,728,805,866,702,606,683,632,8028,
1308504,SS,Apto Los Garzones,Montería,Córdoba,36,"-75,835","8,831",7,13,29,99,187,141,168,166,206,146,101,42,1282,
2120579,SP,Apto Eldorado P1-2,Bogota,Cundinamarca,2547,"-74,142","4,696",29,45,73,111,108,59,46,45,64,111,93,58,840,
2119512,CP,Ita Valsalice,Fusagasuga,Cundinamarca,1460,"-74,396","4,396",121,110,155,139,148,74,52,44,94,147,157,130,1333,
3109501,AM,Pto Inirida,Inirida,Guainia,100,"-67,932","3,868",110,128,127,312,457,523,526,412,298,222,198,136,3379,
3210507,CO,San Jose Guaviare,San Jose del Guaviare,Guaviare,165,"-72,647","2,553",48,88,159,315,353,358,330,269,229,233,230,99,2652,
2111502,SS,Apto Benito Salas,Neiva,Huila,439,"-75,293","2,949",101,124,162,150,95,35,31,20,60,204,232,166,1377,
1506501,SP,Apto Alm Padilla,Riohacha,La Guajira,4,"-72,933","11,533",4,2,5,26,73,54,16,46,136,145,71,31,608,
